%time,field.header.seq,field.header.stamp,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w,field.twist.twist.linear.x,field.twist.twist.linear.y,field.twist.twist.linear.z,field.twist.twist.angular.x,field.twist.twist.angular.y,field.twist.twist.angular.z
1.61273010931139E+018,2130,1.61273010931103E+018,0.671523367151,1.46423298936,0,0,0,0.539968327903,0.841685336014,-0.032167573941,0.0542056640387,0,0,0,1.03521752924
1.61273010940525E+018,2131,1.61273010940472E+018,0.673038800948,1.46616105831,0,0,0,0.539818653989,0.841781337882,-0.0161739642405,0.0205779482574,0,0,0,0.904659562126
1.61273010950626E+018,2132,1.61273010950581E+018,0.671455396924,1.46383288235,0,0,0,0.539940887178,0.841702939494,0.0156636127647,-0.0230311696346,0,0,0,-2.16804475564
1.61273010960714E+018,2133,1.61273010960667E+018,0.670376339605,1.46190712375,0,0,0,0.539987437692,0.841673076161,0.0106983506337,-0.0190929993958,0,0,0,-2.08153464684
1.61273010970868E+018,2134,1.61273010970832E+018,0.672087275833,1.46548031432,0,0,0,0.539970258492,0.841684097476,-0.0168326273301,0.0351539608395,0,0,0,1.12423102207
1.61273010980817E+018,2135,1.61273010980782E+018,0.673260687784,1.46767716595,0,0,0,0.53993095385,0.841709311505,-0.0117933180751,0.0220793473495,0,0,0,1.08021627573
1.61273010990854E+018,2136,1.61273010990813E+018,0.674769007873,1.47117963546,0,0,0,0.539954198059,0.841694400598,-0.0150360025691,0.0349150959121,0,0,0,1.16415426145
1.61273011000753E+018,2137,1.61273011000709E+018,0.670047076304,1.46079398495,0,0,0,0.539944311847,0.841700742606,0.0477169741459,-0.104951079762,0,0,0,-1.99751808581
1.61273011010104E+018,2138,1.61273011010061E+018,0.671375878277,1.46377083742,0,0,0,0.539953015495,0.841695159222,-0.0142079970607,0.0318295065687,0,0,0,1.15095839177
1.61273011019973E+018,2139,1.61273011019943E+018,0.673627748073,1.4687360872,0,0,0,0.539959052499,0.841691286413,-0.0227878182172,0.0502458933079,0,0,0,1.14501406153
1.61273011030569E+018,2140,1.61273011030528E+018,0.671828083391,1.46481837333,0,0,0,0.539959723476,0.84169085597,0.0170018779854,-0.03701161326,0,0,0,-2.00141169442
1.61273011040064E+018,2141,1.61273011040034E+018,0.672555167192,1.46623632541,0,0,0,0.539941523001,0.841702531622,-0.00764875077327,0.0149165227355,0,0,0,1.09698469873
1.61273011050906E+018,2142,1.61273011050859E+018,0.671142551174,1.46314836817,0,0,0,0.539940616587,0.841703113075,0.0130499560115,-0.028527006358,0,0,0,-1.99983640444
1.6127301106077E+018,2143,1.61273011060707E+018,0.671895527111,1.46508717171,0,0,0,0.539972975621,0.841682354335,-0.00764549806954,0.0196860456815,0,0,0,1.20035458248
1.61273011071189E+018,2144,1.61273011071152E+018,0.670820378275,1.46234655713,0,0,0,0.539929770804,0.841710070392,0.0102938314161,-0.0262395525698,0,0,0,-1.944649014
1.61273011080771E+018,2145,1.61273011080731E+018,0.67163215698,1.46438330308,0,0,0,0.539958865048,0.841691406666,-0.00847430009399,0.0212619476586,0,0,0,1.19152633475
1.61273011091399E+018,2146,1.61273011091339E+018,0.671724197218,1.46443741947,0,0,0,0.539942905046,0.841701645056,-0.000867689797269,0.000510170812742,0,0,0,0.531522875008
1.61273011101706E+018,2147,1.61273011101649E+018,0.671844722295,1.46476941241,0,0,0,0.539950443353,0.841696809263,-0.00116899991055,0.00322007439188,0,0,0,1.22255650126
1.61273011111467E+018,2148,1.61273011111391E+018,0.67201571708,1.46527561065,0,0,0,0.539964961771,0.841687495487,-0.00175512589251,0.0051957236085,0,0,0,1.24502936698
1.61273011120595E+018,2149,1.61273011120556E+018,0.67036241359,1.46147301975,0,0,0,0.539943390448,0.841701333676,0.0180403015508,-0.0414926158184,0,0,0,-1.98092435251
1.6127301113064E+018,2150,1.61273011130605E+018,0.672340746406,1.46605873782,0,0,0,0.53997305751,0.8416823018,-0.0196858634472,0.0456312603358,0,0,0,1.16350739935
1.61273011140684E+018,2151,1.61273011140648E+018,0.670604387014,1.46193886574,0,0,0,0.539936661072,0.841705650469,0.0172901512295,-0.0410244628476,0,0,0,-1.96966435473
1.6127301115082E+018,2152,1.61273011150764E+018,0.672061618103,1.4651671101,0,0,0,0.539942259948,0.841702058879,-0.0144053391788,0.0319125465494,0,0,0,1.14677836184
1.61273011160712E+018,2153,1.61273011160675E+018,0.670060442959,1.46172334153,0,0,0,0.540042538403,0.841637722963,0.0201902153824,-0.0347447995088,0,0,0,-2.09720310078
1.61273011259912E+018,2154,1.61273011259872E+018,-0.291888697679,1.43402079993,0,0,0,0.774421001068,0.632670619758,0.96974305283,-0.0279269933575,0,0,0,-3.11280226757
1.61273011269899E+018,2155,1.61273011269862E+018,-0.294012864834,1.43120943837,0,0,0,0.774992741315,0.631970134507,0.0212625271123,-0.0281412182356,0,0,0,-2.21784970318
1.61273011280596E+018,2156,1.61273011280548E+018,-0.290285210814,1.43513382467,0,0,0,0.774033426079,0.633144734885,-0.0348844891473,0.0367255680462,0,0,0,0.811102282137
1.6127301129023E+018,2157,1.61273011290184E+018,-0.286040423366,1.43335553652,0,0,0,0.773207998059,0.634152498803,-0.044051358011,-0.0184546361782,0,0,0,-0.396721966716
1.61273011299958E+018,2158,1.6127301129991E+018,-0.283607304987,1.43433164602,0,0,0,0.772648819729,0.634833680086,-0.025014800511,0.0100353458508,0,0,0,0.381520042698
1.61273011310301E+018,2159,1.61273011310239E+018,-0.282559030875,1.43187692894,0,0,0,0.772528707145,0.634979839551,-0.0101492344355,-0.0237662065136,0,0,0,-1.16719500781
1.61273011320029E+018,2160,1.61273011319969E+018,-0.28247905508,1.42913398115,0,0,0,0.77262733163,0.634859832103,-0.000821934064258,-0.0281900569964,0,0,0,-1.54164770649
1.61273011330228E+018,2161,1.61273011330159E+018,-0.284601204226,1.43474738876,0,0,0,0.772842870364,0.634597429657,0.0208260244197,0.0550880056073,0,0,0,1.93223834664
1.61273011340552E+018,2162,1.61273011340497E+018,-0.284836882752,1.43536424622,0,0,0,0.77286697066,0.634568078037,0.00227981527325,0.00596711577011,0,0,0,1.93574495602
1.61273011351047E+018,2163,1.61273011351009E+018,-0.284030905072,1.43294906055,0,0,0,0.772797365052,0.634652844135,-0.00766685427851,-0.0229744284898,0,0,0,-1.24870454904
1.61273011361002E+018,2164,1.61273011360944E+018,-0.283772620065,1.4334339223,0,0,0,0.772721868433,0.634744762913,-0.00259988008095,0.00488058692414,0,0,0,1.08133357815
1.61273011370789E+018,2165,1.61273011370705E+018,-0.283832339834,1.43416445827,0,0,0,0.772703788099,0.634766772805,0.000611794798724,0.00748392234352,0,0,0,1.65236283593
1.6127301138082E+018,2166,1.61273011380769E+018,-0.283944169591,1.43321526023,0,0,0,0.772767644743,0.634689031919,0.00111113269752,-0.00943116584725,0,0,0,-1.68807070543
1.61273011390792E+018,2167,1.61273011390748E+018,-0.28373922044,1.43252652399,0,0,0,0.772753043106,0.634706809772,-0.00205394480749,-0.00690232783565,0,0,0,-1.28156783455
1.6127301140015E+018,2168,1.61273011400098E+018,-0.283859928564,1.43349154293,0,0,0,0.77273803873,0.634725077101,0.00129099737709,0.010321069364,0,0,0,1.69523371688
1.61273011410137E+018,2169,1.61273011410084E+018,-0.283637216271,1.43319102584,0,0,0,0.772703260943,0.634767414514,-0.00223022504654,-0.00300935676978,0,0,0,-0.933017578556
1.61273011420298E+018,2170,1.61273011420229E+018,-0.283784533265,1.43324825064,0,0,0,0.772732239111,0.634732137708,0.00145208405735,0.000564057297001,0,0,0,2.77108549985
1.61273011430598E+018,2171,1.61273011430567E+018,-0.284210184642,1.43440811059,0,0,0,0.772773965396,0.63468133611,0.00411742477456,0.0112195950993,0,0,0,1.92252183012
1.61273011440208E+018,2172,1.61273011440161E+018,-0.283965446937,1.43465262612,0,0,0,0.772711557337,0.634757315167,-0.00255099949743,0.00254868363143,0,0,0,0.784944043842
1.61273011450907E+018,2173,1.61273011450867E+018,-0.283939772798,1.43426727309,0,0,0,0.77272233194,0.634744198651,-0.000239795355096,-0.00359918083331,0,0,0,-1.50426966422
1.61273011460344E+018,2174,1.61273011460311E+018,-0.283790973801,1.43393943473,0,0,0,0.772704462839,0.634765951441,-0.00157572450636,-0.0034716829363,0,0,0,-1.14472118208
1.61273011470913E+018,2175,1.61273011470861E+018,-0.283955959149,1.43428965023,0,0,0,0.772724835214,0.634741151214,0.00156382827546,0.00331954870939,0,0,0,2.01105506535
1.61273011480829E+018,2176,1.61273011480776E+018,-0.28407068207,1.43543154701,0,0,0,0.772701144489,0.634769990867,0.00115705102528,0.0115167293932,0,0,0,1.67092731463
