%time,field.header.seq,field.header.stamp,field.header.frame_id,field.child_frame_id,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w,mocap.linear.x,mocap.linear.y,field.twist.twist.linear.z,field.twist.twist.angular.x,field.twist.twist.angular.y,field.twist.twist.angular.z
1.61300075750593E+018,775,1.6130007574778E+018,odom,base_link,-1.07754552364,3.10475516319,0,0,0,0.814824342193,0.579707936266,0.147980524626,1.20926008504,0,0,0,1.69256369429
1.61300075750594E+018,776,1.61300075748779E+018,odom,base_link,-1.07821547985,3.11609911919,0,0,0,0.814552934554,0.580089231764,0.0850694494947,1.13507323809,0,0,0,1.64560269588
1.61300075750595E+018,777,1.61300075749801E+018,odom,base_link,-1.07943797112,3.1279706955,0,0,0,0.814313865947,0.580424782144,0.151781926924,1.16148827544,0,0,0,1.70073881958
1.61300075754995E+018,778,1.61300075750932E+018,odom,base_link,-1.08014142513,3.1394610405,0,0,0,0.81404425928,0.580802844289,0.0789507281241,1.01621508667,0,0,0,1.64833154163
1.61300075754997E+018,779,1.61300075751844E+018,odom,base_link,-1.08129906654,3.15074253082,0,0,0,0.813819661156,0.581117508871,0.16102751589,1.23658694978,0,0,0,1.7002870032
1.61300075754997E+018,780,1.613000757528E+018,odom,base_link,-1.08236777782,3.16202878952,0,0,0,0.813588974272,0.581440436281,0.141953841304,1.1813236548,0,0,0,1.69038797773
1.61300075754997E+018,781,1.61300075753785E+018,odom,base_link,-1.08492875099,3.17283201218,0,0,0,0.813495700174,0.581570929293,0.329876542783,1.09655868105,0,0,0,1.86301340721
1.61300075754999E+018,782,1.61300075754792E+018,odom,base_link,-1.08565807343,3.1829199791,0,0,0,0.813273086432,0.581882193305,0.0918712212266,1.00137261546,0,0,0,1.6622854965
1.61300075759793E+018,783,1.61300075755794E+018,odom,base_link,-1.08651196957,3.19246244431,0,0,0,0.813076992634,0.582156168094,0.108221748398,0.953020460174,0,0,0,1.6838685456
1.61300075759795E+018,784,1.61300075756825E+018,odom,base_link,-1.0867524147,3.20140528679,0,0,0,0.812848459259,0.582475220315,0.0295724050894,0.866719113661,0,0,0,1.60490303664
